,Links,Qiymetler,Valyuta,Yer,Məlumat,Paylaşılma vaxtı,Scrape Vaxtı,Təmirli?,Çıxarış?,Ipoteka?
0,https://bina.az/items/3422474,239 000,AZN,Nəriman Nərimanov m.,"2 otaqlı
98 m²
11/18 mərtəbə","Bakı, bugün 23:02",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur
1,https://bina.az/items/3353601,284 000,AZN,Nəriman Nərimanov m.,"3 otaqlı
110 m²
3/12 mərtəbə","Bakı, bugün 22:57",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
2,https://bina.az/items/3252063,389 000,AZN,Gənclik m.,"3 otaqlı
192 m²
5/16 mərtəbə","Bakı, bugün 22:56",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
3,https://bina.az/items/3391191,259 000,AZN,Nəriman Nərimanov m.,"3 otaqlı
157 m²
4/17 mərtəbə","Bakı, bugün 22:56",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
4,https://bina.az/items/3402716,495 000,AZN,Nərimanov r.,"4 otaqlı
287 m²
8/16 mərtəbə","Bakı, bugün 22:56",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur
5,https://bina.az/items/3231011,180 000,AZN,Nəriman Nərimanov m.,"2 otaqlı
103 m²
6/18 mərtəbə","Bakı, bugün 22:56",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
6,https://bina.az/items/3227074,299 000,AZN,Nəriman Nərimanov m.,"3 otaqlı
129 m²
4/17 mərtəbə","Bakı, bugün 22:29",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur
7,https://bina.az/items/3411332,175 000,AZN,Nərimanov r.,"2 otaqlı
80 m²
14/16 mərtəbə","Bakı, bugün 22:26",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
8,https://bina.az/items/3201984,520 000,AZN,Nəriman Nərimanov m.,"3 otaqlı
146 m²
11/17 mərtəbə","Bakı, bugün 22:23",16/04/2023 23:07,Təmirli,Çıxarış yoxdur,İpoteka yoxdur
9,https://bina.az/items/3424697,225 000,AZN,Gənclik m.,"2 otaqlı
119 m²
11/18 mərtəbə","Bakı, bugün 22:21",16/04/2023 23:07,Təmirli,Çıxarış yoxdur,İpoteka yoxdur
10,https://bina.az/items/3376393,205 000,AZN,Nərimanov r.,"3 otaqlı
100 m²
3/17 mərtəbə","Bakı, bugün 21:39",16/04/2023 23:07,Təmirli,Çıxarış yoxdur,İpoteka yoxdur
11,https://bina.az/items/3424658,227 245,AZN,Nəriman Nərimanov m.,"2 otaqlı
97 m²
15/17 mərtəbə","Bakı, bugün 21:44",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
12,https://bina.az/items/3416748,221 900,AZN,Nərimanov r.,"3 otaqlı
130 m²
6/20 mərtəbə","Bakı, bugün 21:14",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
13,https://bina.az/items/3024455,265 000,AZN,Nərimanov r.,"4 otaqlı
175 m²
11/17 mərtəbə","Bakı, bugün 21:07",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
14,https://bina.az/items/3403911,217 000,AZN,Nərimanov r.,"3 otaqlı
112 m²
15/18 mərtəbə","Bakı, bugün 20:57",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
15,https://bina.az/items/3301165,1 200 000,AZN,Gənclik m.,"7 otaqlı
750 m²
18/18 mərtəbə","Bakı, bugün 20:55",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur
16,https://bina.az/items/3351699,275 000,AZN,Nəriman Nərimanov m.,"3 otaqlı
107 m²
9/17 mərtəbə","Bakı, bugün 20:52",16/04/2023 23:07,Təmirli deyil,Çıxarış var,İpoteka yoxdur
17,https://bina.az/items/3271902,158 000,AZN,Nəriman Nərimanov m.,"2 otaqlı
52 m²
14/18 mərtəbə","Bakı, bugün 20:51",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur
18,https://bina.az/items/3203588,301 400,AZN,Nəriman Nərimanov m.,"3 otaqlı
137 m²
6/19 mərtəbə","Bakı, bugün 20:45",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
19,https://bina.az/yasayis-kompleksleri/82,307 802,AZN,Gənclik m.,"3 otaqlı
139.9 m²","Bakı, bugün 20:42",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
20,https://bina.az/yasayis-kompleksleri/82,357 566,AZN,Gənclik m.,"3 otaqlı
162.5 m²","Bakı, bugün 20:42",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
21,https://bina.az/yasayis-kompleksleri/82,336 556,AZN,Gənclik m.,"3 otaqlı
153 m²","Bakı, bugün 20:41",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
22,https://bina.az/yasayis-kompleksleri/82,232 100,AZN,Nəriman Nərimanov m.,"3 otaqlı
105.5 m²","Bakı, bugün 20:41",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
23,https://bina.az/yasayis-kompleksleri/82,456 302,AZN,Gənclik m.,"4 otaqlı
207.4 m²","Bakı, bugün 20:41",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
24,https://bina.az/yasayis-kompleksleri/82,151 200,AZN,Gənclik m.,"2 otaqlı
67.2 m²","Bakı, bugün 20:41",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
25,https://bina.az/yasayis-kompleksleri/82,225 412,AZN,Gənclik m.,"2 otaqlı
102.5 m²","Bakı, bugün 20:41",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
26,https://bina.az/items/3371488,174 000,AZN,Gənclik m.,"2 otaqlı
80 m²
8/17 mərtəbə","Bakı, bugün 20:34",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
27,https://bina.az/items/3244293,205 000,AZN,Nərimanov r.,"3 otaqlı
78 m²
12/17 mərtəbə","Bakı, bugün 20:14",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur
28,https://bina.az/items/3199438,289 000,AZN,Nərimanov r.,"3 otaqlı
110 m²
4/16 mərtəbə","Bakı, bugün 19:45",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
29,https://bina.az/items/3422736,168 000,AZN,Nərimanov r.,"3 otaqlı
100 m²
7/16 mərtəbə","Bakı, bugün 19:37",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur
30,https://bina.az/items/3337449,570 000,AZN,Nəriman Nərimanov m.,"4 otaqlı
180.5 m²
6/18 mərtəbə","Bakı, bugün 19:45",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
31,https://bina.az/items/3385019,196 500,AZN,Nəriman Nərimanov m.,"2 otaqlı
72 m²
4/20 mərtəbə","Bakı, bugün 19:25",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
32,https://bina.az/items/3411337,165 000,AZN,Nərimanov r.,"2 otaqlı
70 m²
8/16 mərtəbə","Bakı, bugün 19:24",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
33,https://bina.az/items/2980130,233 500,AZN,Nəriman Nərimanov m.,"3 otaqlı
113 m²
7/18 mərtəbə","Bakı, bugün 19:19",16/04/2023 23:07,Təmirli,Çıxarış yoxdur,İpoteka yoxdur
34,https://bina.az/items/3404460,360 000,AZN,Gənclik m.,"3 otaqlı
165 m²
6/12 mərtəbə","Bakı, bugün 19:16",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
35,https://bina.az/items/3168351,289 000,AZN,Nərimanov r.,"3 otaqlı
107 m²
4/18 mərtəbə","Bakı, bugün 19:14",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
36,https://bina.az/items/3336031,286 000,AZN,Nərimanov r.,"3 otaqlı
117 m²
16/18 mərtəbə","Bakı, bugün 19:14",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
37,https://bina.az/items/3399835,85 000,AZN,Nəriman Nərimanov m.,"2 otaqlı
32 m²
17/18 mərtəbə","Bakı, bugün 19:10",16/04/2023 23:07,Təmirli deyil,Çıxarış var,İpoteka yoxdur
38,https://bina.az/items/3355598,170 000,AZN,Nərimanov r.,"2 otaqlı
66 m²
2/8 mərtəbə","Bakı, bugün 19:07",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur
39,https://bina.az/items/3392983,155 000,AZN,Nəriman Nərimanov m.,"2 otaqlı
55 m²
9/16 mərtəbə","Bakı, bugün 19:03",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
40,https://bina.az/items/3395889,275 000,AZN,Nərimanov r.,"4 otaqlı
160 m²
3/15 mərtəbə","Bakı, bugün 19:03",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur
41,https://bina.az/items/3397130,275 000,AZN,Nərimanov r.,"3 otaqlı
100 m²
16/17 mərtəbə","Bakı, bugün 19:00",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var
