Time,Links,Qiymetler,Valyuta,Yer,Məlumat,Paylaşılma vaxtı,Scrape Vaxtı,Təmirli?,Çıxarış?,Ipoteka?,Elanın_Nömrəsi,Otaq_Sayı,Sahə,Mərtəbə_raw,Mərtəbə,BinadaMaxMərtəbə,AZN/m²
2023-04-17 23:02:00,https://bina.az/items/3422474,239000.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
98 m²
11/18 mərtəbə","Bakı, bugün 23:02",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur,3422474,2,98.0,11/18,11.0,18.0,2438.775510204081
2023-04-17 22:57:00,https://bina.az/items/3353601,284000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
110 m²
3/12 mərtəbə","Bakı, bugün 22:57",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var,3353601,3,110.0,3/12,3.0,12.0,2581.818181818182
2023-04-17 22:56:00,https://bina.az/items/3252063,389000.0,AZN,Gənclik m.,"3 otaqlı
192 m²
5/16 mərtəbə","Bakı, bugün 22:56",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var,3252063,3,192.0,5/16,5.0,16.0,2026.0416666666667
2023-04-17 22:56:00,https://bina.az/items/3391191,259000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
157 m²
4/17 mərtəbə","Bakı, bugün 22:56",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3391191,3,157.0,4/17,4.0,17.0,1649.6815286624203
2023-04-17 22:56:00,https://bina.az/items/3402716,495000.0,AZN,Nərimanov r.,"4 otaqlı
287 m²
8/16 mərtəbə","Bakı, bugün 22:56",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur,3402716,4,287.0,8/16,8.0,16.0,1724.7386759581882
2023-04-17 22:56:00,https://bina.az/items/3231011,180000.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
103 m²
6/18 mərtəbə","Bakı, bugün 22:56",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3231011,2,103.0,6/18,6.0,18.0,1747.5728155339805
2023-04-17 22:29:00,https://bina.az/items/3227074,299000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
129 m²
4/17 mərtəbə","Bakı, bugün 22:29",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur,3227074,3,129.0,4/17,4.0,17.0,2317.829457364341
2023-04-17 22:26:00,https://bina.az/items/3411332,175000.0,AZN,Nərimanov r.,"2 otaqlı
80 m²
14/16 mərtəbə","Bakı, bugün 22:26",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var,3411332,2,80.0,14/16,14.0,16.0,2187.5
2023-04-17 22:23:00,https://bina.az/items/3201984,520000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
146 m²
11/17 mərtəbə","Bakı, bugün 22:23",16/04/2023 23:07,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3201984,3,146.0,11/17,11.0,17.0,3561.6438356164385
2023-04-17 22:21:00,https://bina.az/items/3424697,225000.0,AZN,Gənclik m.,"2 otaqlı
119 m²
11/18 mərtəbə","Bakı, bugün 22:21",16/04/2023 23:07,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3424697,2,119.0,11/18,11.0,18.0,1890.7563025210084
2023-04-17 21:39:00,https://bina.az/items/3376393,205000.0,AZN,Nərimanov r.,"3 otaqlı
100 m²
3/17 mərtəbə","Bakı, bugün 21:39",16/04/2023 23:07,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3376393,3,100.0,3/17,3.0,17.0,2050.0
2023-04-17 21:44:00,https://bina.az/items/3424658,227245.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
97 m²
15/17 mərtəbə","Bakı, bugün 21:44",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3424658,2,97.0,15/17,15.0,17.0,2342.7319587628867
2023-04-17 21:14:00,https://bina.az/items/3416748,221900.0,AZN,Nərimanov r.,"3 otaqlı
130 m²
6/20 mərtəbə","Bakı, bugün 21:14",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var,3416748,3,130.0,6/20,6.0,20.0,1706.923076923077
2023-04-17 21:07:00,https://bina.az/items/3024455,265000.0,AZN,Nərimanov r.,"4 otaqlı
175 m²
11/17 mərtəbə","Bakı, bugün 21:07",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3024455,4,175.0,11/17,11.0,17.0,1514.2857142857142
2023-04-17 20:57:00,https://bina.az/items/3403911,217000.0,AZN,Nərimanov r.,"3 otaqlı
112 m²
15/18 mərtəbə","Bakı, bugün 20:57",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka var,3403911,3,112.0,15/18,15.0,18.0,1937.5
2023-04-17 20:55:00,https://bina.az/items/3301165,1200000.0,AZN,Gənclik m.,"7 otaqlı
750 m²
18/18 mərtəbə","Bakı, bugün 20:55",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur,3301165,7,750.0,18/18,18.0,18.0,1600.0
2023-04-17 20:52:00,https://bina.az/items/3351699,275000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
107 m²
9/17 mərtəbə","Bakı, bugün 20:52",16/04/2023 23:07,Təmirli deyil,Çıxarış var,İpoteka yoxdur,3351699,3,107.0,9/17,9.0,17.0,2570.0934579439254
2023-04-17 20:51:00,https://bina.az/items/3271902,158000.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
52 m²
14/18 mərtəbə","Bakı, bugün 20:51",16/04/2023 23:07,Təmirli,Çıxarış var,İpoteka yoxdur,3271902,2,52.0,14/18,14.0,18.0,3038.4615384615386
2023-04-17 20:45:00,https://bina.az/items/3203588,301400.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
137 m²
6/19 mərtəbə","Bakı, bugün 20:45",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3203588,3,137.0,6/19,6.0,19.0,2200.0
2023-04-17 20:42:00,https://bina.az/yasayis-kompleksleri/82,307802.0,AZN,Gənclik m.,"3 otaqlı
139.9 m²","Bakı, bugün 20:42",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,YAŞAYIŞ KOMPLEKSLƏRİ,3,139.9,,,,2200.157255182273
2023-04-17 20:42:00,https://bina.az/yasayis-kompleksleri/82,357566.0,AZN,Gənclik m.,"3 otaqlı
162.5 m²","Bakı, bugün 20:42",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,YAŞAYIŞ KOMPLEKSLƏRİ,3,162.5,,,,2200.4061538461538
2023-04-17 20:41:00,https://bina.az/yasayis-kompleksleri/82,336556.0,AZN,Gənclik m.,"3 otaqlı
153 m²","Bakı, bugün 20:41",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,YAŞAYIŞ KOMPLEKSLƏRİ,3,153.0,,,,2199.7124183006536
2023-04-17 20:41:00,https://bina.az/yasayis-kompleksleri/82,232100.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
105.5 m²","Bakı, bugün 20:41",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,YAŞAYIŞ KOMPLEKSLƏRİ,3,105.5,,,,2200.0
2023-04-17 20:41:00,https://bina.az/yasayis-kompleksleri/82,456302.0,AZN,Gənclik m.,"4 otaqlı
207.4 m²","Bakı, bugün 20:41",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,YAŞAYIŞ KOMPLEKSLƏRİ,4,207.4,,,,2200.106075216972
2023-04-17 20:41:00,https://bina.az/yasayis-kompleksleri/82,151200.0,AZN,Gənclik m.,"2 otaqlı
67.2 m²","Bakı, bugün 20:41",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,YAŞAYIŞ KOMPLEKSLƏRİ,2,67.2,,,,2250.0
2023-04-17 20:41:00,https://bina.az/yasayis-kompleksleri/82,225412.0,AZN,Gənclik m.,"2 otaqlı
102.5 m²","Bakı, bugün 20:41",16/04/2023 23:07,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,YAŞAYIŞ KOMPLEKSLƏRİ,2,102.5,,,,2199.141463414634
